Timestamp,Anomaly,Faulty_Sensors,Actual_GPS_Speed,Expected_GPS_Speed,Actual_Engine_RPM,Expected_Engine_RPM
2025-01-01 01:06:40,No,,32.651070945122434,38.8037490828136,2298.5879441620345,3211.789501988755
2025-01-01 01:06:41,No,,25.394765788386863,36.1132247816987,2285.8601601583905,2989.0945843733384
2025-01-01 01:06:42,No,,26.618132830175316,22.514234228063877,2927.6217797118798,1863.5050181539907
2025-01-01 01:06:43,No,"GPS_Speed, Engine_RPM",24.239748295233323,67.39844829246069,3059.324099157999,5578.575106597955
2025-01-01 01:06:44,Yes,Engine_RPM,49.17259534504072,49.141302537501105,2221.3352624769504,4067.429651376235
2025-01-01 01:06:45,No,Engine_RPM,44.639007861743224,43.77043707728244,2299.301670268089,3622.882675646911
2025-01-01 01:06:46,No,"GPS_Speed, Engine_RPM",35.55294190013616,91.13286703333512,2842.7568458512433,7543.074897199589
2025-01-01 01:06:47,No,,43.25308997267739,40.157600460839376,2660.055997942719,3323.847891860214
2025-01-01 01:06:48,No,,37.98461338977883,20.098698713744643,2702.928431596277,1663.5709450309464
2025-01-01 01:06:49,No,,31.812711595140552,45.876853705680254,2768.980388455917,3797.230953166803
2025-01-01 01:06:50,No,Engine_RPM,14.944286589803164,12.032068647438464,2427.7803514767775,995.8953112127703
2025-01-01 01:06:51,No,"GPS_Speed, Engine_RPM",27.3783607987486,65.57894774280327,2598.990977497056,5427.974896505349
2025-01-01 01:06:52,No,"GPS_Speed, Engine_RPM",26.64962107981648,91.32871800108069,2575.6576452094278,7559.285497902554
2025-01-01 01:06:53,No,Engine_RPM,18.66924826907843,10.940932016593779,2242.4525199263617,905.5818425656261
2025-01-01 01:06:54,No,Engine_RPM,15.13837725393384,7.999677119678799,2594.527282964711,662.1339329210255
2025-01-01 01:06:55,No,,34.92719346567025,38.165540861056904,2871.3132088449,3158.964955001131
2025-01-01 01:06:56,No,"GPS_Speed, Engine_RPM",33.24504322370813,59.71007205251718,2399.7600283469915,4942.207573087457
2025-01-01 01:06:57,No,GPS_Speed,18.32603019932388,34.14702997037591,2545.7707746222804,2826.3524781816395
2025-01-01 01:06:58,No,,22.541214935638106,18.792771513357327,2562.0126748032567,1555.479243282899
2025-01-01 01:06:59,No,,41.612222731541635,22.58840520842426,2414.6006348694186,1869.644156296681
2025-01-01 01:07:00,No,"GPS_Speed, Engine_RPM",21.223034864834396,73.22336162228697,2703.070371308307,6060.703661826049
2025-01-01 01:07:01,No,"GPS_Speed, Engine_RPM",31.707989039338024,72.43213331323203,2295.980310623504,5995.213629631595
2025-01-01 01:07:02,No,"GPS_Speed, Engine_RPM",28.102217004320188,71.54685420224514,2899.79365560878,5921.939004828474
2025-01-01 01:07:03,No,,35.063634710620626,40.21933166711378,2687.861668489674,3328.9573888790223
2025-01-01 01:07:04,No,,21.438923473435697,25.952541704280193,2218.9694197981316,2148.0940106545136
2025-01-01 01:07:05,No,,30.90083477540107,27.88209682598648,3009.402905465876,2307.8034467241773
2025-01-01 01:07:06,No,,31.68722577345877,30.15800197596486,2550.430438378479,2496.180303110465
2025-01-01 01:07:07,No,,32.301808062292196,37.41699416380837,2283.1157448294844,3097.007683325131
2025-01-01 01:07:08,No,"GPS_Speed, Engine_RPM",30.790738579626133,54.8502940662617,2831.3663574973575,4539.963349599151
2025-01-01 01:07:09,No,,33.446093205941104,36.707484345675894,2648.4014558344074,3038.2814973431405
2025-01-01 01:07:10,No,,51.91770332050811,29.934047863304254,1968.4120887297886,2477.64360279227
2025-01-01 01:07:11,No,Engine_RPM,55.61297776771106,48.383581402313055,2342.301904826844,4004.7130107176686
2025-01-01 01:07:12,No,GPS_Speed,23.60783859213278,42.66029404658338,2583.729201166463,3530.9960457211337
2025-01-01 01:07:13,Yes,"GPS_Speed, Engine_RPM",6.81757019647501,103.95364045243622,1852.1299967072023,8604.25136720937
2025-01-01 01:07:14,No,,35.954953007219736,27.440752243083516,2525.521025616218,2271.2733193104023
2025-01-01 01:07:15,No,,31.862524599012662,35.31954959128697,2547.393811811578,2923.402023607803
